,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[130],-0.367155,0.341711,0.490707,0.672907,-0.924229,-0.397563,0.255196,4.78574,200.0,0.00968632,3.03231
log_lik[131],-0.940914,0.528349,0.758707,0.719555,-1.65613,-1.15255,0.202988,4.74597,200.0,0.00960583,3.12993
log_lik[132],-1.83856,0.973314,1.39766,1.91122,-3.32679,-1.94491,-0.188561,4.5519,200.0,0.00921303,3.92963
log_lik[133],-0.229999,0.0755371,0.10855,0.143607,-0.366721,-0.218855,-0.116903,5.18941,200.0,0.0105034,2.48436
log_lik[134],-1.45824,0.675591,0.970139,1.03584,-2.40469,-1.68212,-0.0966411,4.70185,200.0,0.00951653,3.25302
log_lik[135],-0.725766,0.613249,0.880629,1.22276,-1.61739,-0.787933,0.289431,4.73061,200.0,0.00957474,3.17894
log_lik[136],-0.767088,0.562878,0.808295,1.05426,-1.58413,-0.861394,0.24071,4.73958,200.0,0.00959289,3.14986
log_lik[137],-1.61282,0.859632,1.23442,1.68541,-2.9094,-1.70982,-0.16768,4.57462,200.0,0.00925901,3.78763
log_lik[138],-0.113888,0.276812,0.411924,0.461657,-0.573659,-0.262363,0.535823,4.96012,200.0,0.0100393,2.76874
log_lik[139],-1.90937,0.975774,1.40119,1.96014,-3.40667,-1.9906,-0.300929,4.55525,200.0,0.00921982,3.90773
log_lik[140],-1.02859,0.500761,0.719091,0.723817,-1.72204,-1.21067,0.0352871,4.76085,200.0,0.00963595,3.08741
log_lik[141],-1.87379,0.799669,1.14831,1.38293,-3.05451,-2.05996,-0.362572,4.58267,200.0,0.00927531,3.74061
log_lik[142],-3.40087,1.36914,1.96605,2.71828,-5.56937,-3.52233,-1.05744,4.53143,200.0,0.0091716,4.08035
log_lik[143],-1.9305,0.991607,1.42393,1.98359,-3.45406,-2.01766,-0.284593,4.55239,200.0,0.00921402,3.9277
log_lik[144],-1.54322,0.726756,1.04361,1.1717,-2.58768,-1.75646,-0.111538,4.58475,200.0,0.00927951,3.72875
log_lik[145],-2.767,1.15965,1.66523,2.18321,-4.56829,-2.93729,-0.683786,4.5398,200.0,0.00918853,4.01644
log_lik[146],-0.376939,0.299106,0.42952,0.2469,-0.785765,-0.52818,0.341828,4.78268,200.0,0.00968012,3.03676
log_lik[147],-1.38391,0.62757,0.901184,0.970094,-2.25506,-1.58387,-0.123293,4.82531,200.0,0.00976641,2.91552
log_lik[148],-1.57455,0.692051,0.993776,1.12412,-2.56337,-1.77437,-0.222749,4.60275,200.0,0.00931596,3.63869
log_lik[149],-2.09352,0.880842,1.26487,1.57644,-3.41611,-2.26989,-0.463739,4.57281,200.0,0.00925534,3.79568
log_lik[150],-0.257656,0.343204,0.492849,0.606275,-0.805573,-0.321705,0.422588,4.784,200.0,0.00968279,3.02967
log_lik[151],0.459471,0.28995,0.416355,0.468893,0.0272867,0.384048,1.04697,4.84287,200.0,0.00980196,2.93102
log_lik[152],0.310104,0.113693,0.163289,0.155295,0.106438,0.2828,0.56659,4.69927,200.0,0.00951131,3.31336
log_lik[153],-0.0630133,0.0951503,0.136682,0.116223,-0.227448,-0.0907183,0.157105,4.64095,200.0,0.00939326,3.6151
log_lik[154],0.403006,0.5517,0.792201,0.86277,-0.763256,0.528245,1.3235,4.79558,200.0,0.00970623,3.06666
log_lik[155],-0.737583,0.540504,0.776163,0.976778,-1.52361,-0.845387,0.26743,4.74776,200.0,0.00960944,3.12549
log_lik[156],-0.0129204,0.109108,0.156713,0.114244,-0.203099,-0.0442662,0.240419,4.68033,200.0,0.00947297,3.44452
log_lik[157],-0.0415624,0.11932,0.171369,0.136216,-0.244952,-0.0754866,0.235478,4.70745,200.0,0.00952787,3.31107
log_lik[158],-2.31406,1.11757,1.6048,2.31608,-4.0575,-2.36289,-0.530767,4.54484,200.0,0.00919875,3.98314
