subject,condition,n_planets,centrality_rt_corr,mean_centrality
41.0,4-planets,4,0.10499095665562636,0.16668578800674463
41.0,5-planets,5,-0.03335003635154917,0.10011178788916297
42.0,2-planets,2,,1.0
42.0,3-planets,3,0.06406022651123854,0.33333333333333337
42.0,5-planets,5,0.03259416184327707,0.10011279979771995
43.0,2-planets,2,,1.0
43.0,3-planets,3,0.09010163377286613,0.33336599920395266
43.0,4-planets,4,-0.02489447008794691,0.1666784270174982
43.0,5-planets,5,-0.20378727552379386,0.10003185003185001
44.0,2-planets,2,,1.0
44.0,3-planets,3,-0.1569154835627857,0.33333627775664854
44.0,4-planets,4,-0.09832100165752976,0.1668965813883916
44.0,5-planets,5,0.07414282520711403,0.1000463066639492
45.0,2-planets,2,,1.0
45.0,3-planets,3,-0.058074569539634725,0.3333333333333334
45.0,4-planets,4,-0.05523785868076791,0.16709144678245566
45.0,5-planets,5,-0.10232973563973267,0.10017765006049557
46.0,2-planets,2,,1.0
46.0,3-planets,3,0.15464385865540675,0.3333448393552491
46.0,4-planets,4,0.000770831953681585,0.1667693057810321
46.0,5-planets,5,-0.019547868787084057,0.1000157399505226
47.0,2-planets,2,,1.0
47.0,3-planets,3,0.053110955993061926,0.3333333333333333
47.0,5-planets,5,-0.07015000664346148,0.10001913050057348
48.0,3-planets,3,0.05011006429659915,0.3333674583674584
