subject,condition,n_planets,policy_MI,reward_rate,mean_rt1
69.0,2-planets,2,-9.999485446286172e-13,0.1939799331103679,0.8012608695652174
69.0,3-planets,3,0.012544960620909054,0.03367003367003367,0.525973063973064
69.0,4-planets,4,0.005843159490356646,0.05802047781569966,0.5805836177474403
69.0,5-planets,5,0.024299675054712686,0.010033444816053512,0.3574648829431438
70.0,2-planets,2,-9.99943717572041e-13,0.0033444816053511705,0.43922408026755844
70.0,3-planets,3,0.00599991039904918,0.016778523489932886,0.5173859060402684
70.0,4-planets,4,0.13086275563993932,0.24662162162162163,0.8322128378378377
70.0,5-planets,5,0.01814394872684083,0.6073825503355704,1.0948724832214767
71.0,2-planets,2,-9.999277511538536e-13,0.03678929765886288,0.532484949832776
71.0,3-planets,3,0.03466664727033868,0.0033333333333333335,0.5029966666666666
71.0,4-planets,4,0.054315393486859695,0.07744107744107744,0.5787205387205387
71.0,5-planets,5,0.08025146338183974,0.4463667820069204,0.9951107266435986
72.0,2-planets,2,-9.999680932639677e-13,0.09491525423728814,0.6226338983050848
72.0,3-planets,3,0.1600128740753159,0.12837837837837837,0.7423783783783784
72.0,4-planets,4,0.02205096012518959,0.4863013698630137,1.020609589041096
72.0,5-planets,5,0.09350628697202318,0.13,0.8025566666666667
73.0,2-planets,2,-9.999667015385462e-13,0.09395973154362416,0.6798590604026846
73.0,3-planets,3,0.013158994837301624,0.3288590604026846,0.8353322147651006
73.0,4-planets,4,0.041893063489215634,0.15333333333333332,0.8204633333333333
73.0,5-planets,5,0.040364222690591554,0.15699658703071673,0.8226245733788395
74.0,2-planets,2,-1.0000053553724892e-12,0.05351170568561873,0.5635016722408026
74.0,3-planets,3,0.003873667240121833,0.06375838926174497,0.6786476510067114
74.0,4-planets,4,0.01619103420705626,0.0,0.6511666666666668
74.0,5-planets,5,0.023920312073662495,0.09060402684563758,0.686748322147651
75.0,2-planets,2,-9.999922281018782e-13,0.10884353741496598,0.6952993197278912
75.0,3-planets,3,0.02117964524285155,0.11705685618729098,0.6829498327759197
75.0,4-planets,4,0.004060925514665048,0.21070234113712374,0.772334448160535
75.0,5-planets,5,0.05998422065498018,0.006666666666666667,0.5157499999999999
76.0,2-planets,2,-9.999583743626135e-13,0.016891891891891893,0.5353175675675675
76.0,3-planets,3,0.0021669887968424474,0.03,0.5746233333333334
76.0,4-planets,4,0.022517050887773234,0.04013377926421405,0.642515050167224
76.0,5-planets,5,0.05032816639668845,0.1605351170568562,0.8175451505016722
77.0,2-planets,2,-9.999589413659363e-13,0.020066889632107024,0.574551839464883
77.0,3-planets,3,0.02873005188245719,0.17114093959731544,0.7855402684563758
77.0,4-planets,4,0.00837161832683659,0.25838926174496646,0.8620671140939598
78.0,2-planets,2,-9.99985456595079e-13,0.034129692832764506,0.5714607508532423
78.0,3-planets,3,0.022264489315665353,0.1476510067114094,0.7779664429530202
78.0,4-planets,4,0.018452333823751825,0.060810810810810814,0.5124324324324324
78.0,5-planets,5,0.04470270729405188,0.28321678321678323,0.8465
79.0,2-planets,2,-9.999949294875234e-13,0.13310580204778158,0.7282696245733788
79.0,3-planets,3,0.013492127108613153,0.16161616161616163,0.7429663299663299
79.0,4-planets,4,0.019180269125587006,0.19063545150501673,0.8189598662207358
79.0,5-planets,5,0.01570481552954027,0.013745704467353952,0.41113402061855675
80.0,2-planets,2,-1.00002668338665e-12,0.006711409395973154,0.42440939597315436
80.0,3-planets,3,0.024346033342202783,0.19463087248322147,0.7940973154362415
80.0,4-planets,4,0.004982908027499507,0.15666666666666668,0.6831100000000001
80.0,5-planets,5,0.04082191502054722,0.2920962199312715,0.899958762886598
81.0,2-planets,2,-9.999741775369654e-13,0.016666666666666666,0.48730666666666667
81.0,3-planets,3,0.003776836549858907,0.003355704697986577,0.4920637583892617
81.0,4-planets,4,0.05510608935460702,0.03678929765886288,0.5817692307692307
81.0,5-planets,5,0.033949269399578194,0.09121621621621621,0.6726249999999999
82.0,2-planets,2,-9.999981323491044e-13,0.037162162162162164,0.5309222972972973
82.0,3-planets,3,0.008139808580632252,0.06440677966101695,0.5730406779661017
82.0,4-planets,4,0.07155959582170011,0.24414715719063546,0.816180602006689
82.0,5-planets,5,0.07812804472869347,0.07612456747404844,0.5513425605536332
83.0,2-planets,2,-9.999995594039588e-13,0.04377104377104377,0.5635892255892256
83.0,3-planets,3,0.10672651941484429,0.02666666666666667,0.5710866666666666
83.0,4-planets,4,0.00432374918485291,0.020134228187919462,0.4958120805369128
84.0,2-planets,2,-9.999596903278166e-13,0.04436860068259386,0.5635836177474403
84.0,3-planets,3,0.051006783575074016,0.11333333333333333,0.6836233333333332
84.0,4-planets,4,0.011293028591708014,0.060810810810810814,0.5400067567567567
84.0,5-planets,5,0.046658771601452625,0.21140939597315436,0.8281308724832215
85.0,2-planets,2,-9.999912455141208e-13,0.0033444816053511705,0.4676354515050167
85.0,3-planets,3,0.035913707712155254,0.25,0.8536566666666666
85.0,4-planets,4,0.005391219946871497,0.11784511784511785,0.7667272727272728
85.0,5-planets,5,0.01491126320475503,0.09090909090909091,0.6735656565656566
86.0,2-planets,2,-1.0000139985500366e-12,0.06164383561643835,0.5715034246575343
86.0,3-planets,3,0.00024042603450599698,0.4689655172413793,1.0294172413793103
86.0,4-planets,4,0.010349211283485569,0.06859205776173286,0.4998086642599278
86.0,5-planets,5,0.01734062425049416,0.3691275167785235,0.9361744966442954
87.0,2-planets,2,-9.999696544065695e-13,0.02356902356902357,0.5328148148148147
87.0,3-planets,3,0.07011702782583187,0.2356902356902357,0.8646767676767677
87.0,4-planets,4,0.05026853933946746,0.07692307692307693,0.6913177257525084
87.0,5-planets,5,0.019623002085811123,0.19463087248322147,0.7791543624161074
88.0,2-planets,2,-9.999553037455926e-13,0.0033333333333333335,0.44147666666666663
88.0,3-planets,3,0.004506083884233833,0.23024054982817868,0.8593951890034365
88.0,4-planets,4,0.023819832957120653,0.174496644295302,0.7601778523489934
88.0,5-planets,5,0.06700484110122233,0.03,0.5670999999999999
89.0,2-planets,2,-9.999971865072552e-13,0.07023411371237458,0.6842207357859531
89.0,3-planets,3,0.005977465277194359,0.023333333333333334,0.6714233333333333
89.0,4-planets,4,0.0807077092091737,0.14093959731543623,0.6532382550335571
89.0,5-planets,5,0.02725033804926351,0.21548821548821548,0.7747575757575756
90.0,2-planets,2,-9.999534157391863e-13,0.03389830508474576,0.5324542372881356
90.0,3-planets,3,0.13008525219042816,0.01,0.49265666666666663
90.0,4-planets,4,0.023691838612548602,0.04697986577181208,0.5970771812080538
90.0,5-planets,5,0.0873813533088888,0.1939799331103679,0.8167792642140468
91.0,2-planets,2,-9.999674815430406e-13,0.030100334448160536,0.5313177257525082
91.0,3-planets,3,0.006374559629797834,0.04697986577181208,0.5191174496644295
91.0,4-planets,4,0.014628243088146416,0.013377926421404682,0.5053545150501673
91.0,5-planets,5,0.034707073397915573,0.08996539792387544,0.6712733564013841
92.0,2-planets,2,-9.999552974731032e-13,0.05084745762711865,0.5844440677966102
92.0,4-planets,4,0.019532961801325514,0.06551724137931035,0.5625310344827587
92.0,5-planets,5,0.03138085849467401,0.01,0.6028
93.0,2-planets,2,-9.999673971540277e-13,0.0944055944055944,0.6565524475524475
93.0,3-planets,3,0.0033431724842809627,0.09152542372881356,0.6634576271186441
93.0,4-planets,4,0.03171349907506783,0.087248322147651,0.6102080536912751
93.0,5-planets,5,0.030990781248433935,0.04666666666666667,0.6285666666666666
94.0,2-planets,2,-9.9995492112631e-13,0.01694915254237288,0.5165661016949152
94.0,3-planets,3,0.0018304674485837124,0.07357859531772576,0.6435150501672241
94.0,4-planets,4,0.02328293884899163,0.0847457627118644,0.5986610169491525
94.0,5-planets,5,0.06427889253491294,0.1605351170568562,0.8186588628762542
95.0,2-planets,2,-9.999921311435591e-13,0.0472972972972973,0.5882567567567568
95.0,3-planets,3,0.059457572689546066,0.13494809688581316,0.7211487889273357
95.0,4-planets,4,0.028898535456706714,0.10847457627118644,0.5912542372881355
